No,Preprocessed Violent toxic words,Sentiment Value
648,bitch,Negative
649,bitch tit,Negative
650,bitcher,Negative
651,bitchers,Negative
652,bitchez,Negative
653,bitchin,Negative
654,bitchslap,Negative
656,biteme,Negative
665,black,Negative
666,black ass,Negative
667,black cock,Negative
669,blackman,Negative
670,blackout,Negative
706,blonde action,Negative
707,blonde blonde action,Negative
711,bloody prostitute,Negative
717,blow j,Negative
718,blow job,Negative
719,blow mud,Negative
720,blow your l,Negative
721,blow your load,Negative
722,blowjob,Negative
723,blue waffle,Negative
724,blumpkin,Negative
735,boang,Negative
737,bod,Negative
738,bodily,Negative
739,boffing,Negative
740,bogan,Negative
743,bohunk,Negative
746,boink,Negative
747,boiolas,Negative
750,bollick,Negative
751,bollock,Negative
752,bollok,Negative
753,bomb,Negative
757,bomber,Negative
758,bomd,Negative
762,bondage,Negative
763,bone,Negative
764,boner,Negative
765,bong,Negative
769,boob,Negative
770,booby,Negative
771,boody,Negative
772,booger,Negative
773,bookie,Negative
774,boom,Negative
775,boong,Negative
776,boonga,Negative
777,boonie,Negative
780,bootee,Negative
781,bootie,Negative
782,booty,Negative
783,bootycall,Negative
784,booze,Negative
785,boozer,Negative
786,boozy,Negative
792,bosom,Negative
793,bosomy,Negative
803,bountybar,Negative
805,bowel,Negative
808,bra,Negative
818,brassiere,Negative
827,brea t,Negative
828,brea5t,Negative
839,breast,Negative
840,breastjob,Negative
841,breastlover,Negative
842,breastman,Negative
858,brothel,Negative
860,brown shower,Negative
865,brunette action,Negative
876,buceta,Negative
881,bugger,Negative
882,buggery,Negative
887,bukkake,Negative
893,bull shit,Negative
895,bullcrap,Negative
896,bulldike,Negative
897,bulldyke,Negative
898,bullet vibe,Negative
903,bullshit,Negative
904,bullturds,Negative
908,bum,Negative
909,bumblefuck,Negative
910,bumfuck,Negative
916,bung,Negative
917,bung hole,Negative
918,bunga,Negative
919,bunghole,Negative
924,bunny fucker,Negative
928,burn,Negative
932,bury,Negative
934,bust load,Negative
936,busty,Negative
938,butchbabes,Negative
939,butchdike,Negative
940,butchdyke,Negative
943,butt,Negative
944,butt | bang,Negative
945,butt | fuck,Negative
946,butt | fucker,Negative
947,butt | pirate,Negative
948,butt bang,Negative
949,butt fuck,Negative
950,butt fucker,Negative
951,buttbang,Negative
952,buttcheeks,Negative
953,buttface,Negative
954,buttfuck,Negative
955,buttfucker,Negative
956,buttfuckers,Negative
957,butthead,Negative
958,butthole,Negative
959,buttman,Negative
960,buttmuch,Negative
961,buttmunch,Negative
962,buttmuncher,Negative
963,buttpirate,Negative
964,buttplug,Negative
965,buttstain,Negative
966,buttwipe,Negative
968,byatch,Negative
970,c | k,Negative
971,c | o | k,Negative
972,c | u | n | t,Negative
973,c u n t,Negative
974,c. k,Negative
975,c.o. k.,Negative
976,c0ck,Negative
977,c0cks,Negative
978,c0cksucker,Negative
979,c0k,Negative
980,cabron,Negative
981,caca,Negative
982,cacker,Negative
985,cahone,Negative
1003,camel toe,Negative
1004,cameljockey,Negative
1005,cameltoe,Negative
1006,camgirl,Negative
1009,camslut,Negative
1010,camwhore,Negative
1012,canadian,Negative
1013,cancer,Negative
1056,carpet muncher,Negative
1057,carpetmuncher,Negative
1058,carruth,Negative
1079,catholic,Negative
1085,cawk,Negative
1086,cawks,Negative
1087,cazzo,Negative
1095,cemetery,Negative
1104,cervix,Negative
1134,chav,Negative
1144,chee bye,Negative
1145,cheebye,Negative
1159,cherrypopper,Negative
1162,chickslick,Negative
1167,child s,Negative
1168,child 's,Negative
1174,chin,Negative
1175,chinaman,Negative
1176,chinamen,Negative
1177,chinc,Negative
1178,chincs,Negative
1179,chinese,Negative
1180,chink,Negative
1181,chinky,Negative
1188,choad,Negative
1189,choade,Negative
1190,chocolate rosebud,Negative
1191,chode,Negative
1192,chodes,Negative
1201,chota bag,Negative
1202,chraa,Negative
1203,christ,Negative
1204,christian,Negative
1208,chuj,Negative
1212,church,Negative
1213,ci bai,Negative
1214,cibai,Negative
1215,cigarette,Negative
1216,cigs,Negative
1218,cipa,Negative
1219,circlejerk,Negative
1225,cl1t,Negative
1227,clamdigger,Negative
1228,clamdiver,Negative
1247,cleveland steamer,Negative
1251,climax,Negative
1253,clit,Negative
1254,clit licker,Negative
1255,clitoris,Negative
1256,clitorus,Negative
1257,clitty,Negative
1258,clitty litter,Negative
1262,clogwog,Negative
1269,clover clamp,Negative
1273,clusterfuck,Negative
1274,cnts,Negative
1275,cntz,Negative
1276,cnut,Negative
1278,cocain,Negative
1279,cocaine,Negative
1280,cock,Negative
1281,cock | head,Negative
1282,cock | sucker,Negative
1283,cock pocket,Negative
1284,cock snot,Negative
1285,cock sucker,Negative
1286,cockblock,Negative
1287,cockblocker,Negative
1288,cockcowboy,Negative
1289,cockface,Negative
1290,cockfight,Negative
1291,cockhead,Negative
1292,cockholster,Negative
1293,cockknob,Negative
1294,cockknocker,Negative
1295,cocklicker,Negative
1296,cocklover,Negative
1297,cockmunch,Negative
1298,cockmuncher,Negative
1299,cocknob,Negative
1300,cockqueen,Negative
1301,cockrider,Negative
1302,cocksman,Negative
1303,cocksmith,Negative
1304,cocksmoker,Negative
1305,cocksucer,Negative
1306,cocksuck,Negative
1307,cocksucked,Negative
1308,cocksucker,Negative
1309,cocksucking,Negative
1310,cocksucks,Negative
1311,cocksuka,Negative
1312,cocksukka,Negative
1313,cocktail,Negative
1314,cocktease,Negative
1315,cocky,Negative
1323,cohee,Negative
1325,coital,Negative
1326,coitus,Negative
1327,cok,Negative
1328,cokmuncher,Negative
1329,coksucka,Negative
1344,color,Negative
1345,colour,Negative
1349,come,Negative
1363,commie,Negative
1371,communist,Negative
1434,condom,Negative
1482,conservative,Negative
1492,conspiracy,Negative
1552,coolie,Negative
1553,cooly,Negative
1554,coon,Negative
1555,coondog,Negative
1559,cop wood,Negative
1563,coprolagnia,Negative
1564,coprophilia,Negative
1565,copulate,Negative
1568,corksucker,Negative
1570,cornhole,Negative
1571,corp whore,Negative
1582,corruption,Negative
1605,cox,Negative
1609,cra h,Negative
1610,cra5h,Negative
1611,crab,Negative
1613,crack,Negative
1614,crack | whore,Negative
1615,crack whore,Negative
1617,cracker,Negative
1619,crackpipe,Negative
1621,crackwhore,Negative
1632,crap,Negative
1633,crapola,Negative
1634,crapper,Negative
1635,crappy,Negative
1637,crash,Negative
1653,creampie,Negative
1654,creamy,Negative
1673,crime,Negative
1674,criminal,Negative
1695,crotch,Negative
1696,crotchjockey,Negative
1697,crotchmonkey,Negative
1698,crotchrot,Negative
1737,cum,Negative
1738,cum chugger,Negative
1739,cum dumpster,Negative
1740,cum freak,Negative
1741,cum guzzler,Negative
1743,cumbubble,Negative
1744,cumdump,Negative
1745,cumfest,Negative
1746,cumjockey,Negative
1747,cumm,Negative
1748,cummer,Negative
1749,cummin,Negative
1750,cumming,Negative
1751,cumquat,Negative
1752,cumqueen,Negative
1753,cums,Negative
1754,cumshot,Negative
1755,cumshots,Negative
1756,cumslut,Negative
1757,cumstain,Negative
1758,cunilingus,Negative
1759,cunillingus,Negative
1760,cunn,Negative
1761,cunnilingus,Negative
1764,cunntt,Negative
1765,cunny,Negative
1766,cunt,Negative
1767,cunt | strike,Negative
1768,cunt hair,Negative
1769,cuntbag,Negative
1770,cunteyed,Negative
1771,cuntface,Negative
1772,cuntfuck,Negative
1773,cuntfucker,Negative
1774,cunthunter,Negative
1775,cuntlick,Negative
1776,cuntlicker,Negative
1777,cuntlicking,Negative
1779,cuntsicle,Negative
1780,cuntsucker,Negative
1781,cuntz,Negative
1782,cup girl,Negative
1791,curse you,Negative
1800,cut rope,Negative
1804,cyalis,Negative
1805,cyberfuc,Negative
1806,cyberfuck,Negative
1807,cyberfucked,Negative
1808,cyberfucker,Negative
1809,cyberfuckers,Negative
1810,cyberfucking,Negative
1811,cybersex,Negative
1812,cyberslimer,Negative
1815,d | ck,Negative
1816,d0ng,Negative
1817,d0uch3,Negative
1818,d0uche,Negative
1819,d1ck,Negative
1820,d1ld0,Negative
1821,d1ldo,Negative
1822,d4mn,Negative
1825,dafuq,Negative
1826,dago,Negative
1827,dahmer,Negative
1834,dammit,Negative
1835,damn,Negative
1838,damnation,Negative
1841,damnit,Negative
1848,dank,Negative
1860,darkie,Negative
1862,darky,Negative
1868,date rape,Negative
1869,daterape,Negative
1870,datnigga,Negative
1876,dawgie | style,Negative
1877,daygo,Negative
1883,dead,Negative
1891,deapthroat,Negative
1894,death,Negative
1941,deep throat,Negative
1942,deepthroat,Negative
1949,defecate,Negative
1975,dego,Negative
2022,demon,Negative
2035,dendrophilia,Negative
2061,deposit,Negative
2089,desire,Negative
2121,destroy,Negative
2140,deth,Negative
2160,devil,Negative
2165,devilworshipper,Negative
2185,dick,Negative
2186,dick | ish,Negative
2187,dick hole,Negative
2188,dick shy,Negative
2189,dickbag,Negative
2190,dickbrain,Negative
2191,dickdipper,Negative
2192,dickface,Negative
2193,dickflipper,Negative
2194,dickforbrains,Negative
2195,dickhead,Negative
2196,dickish,Negative
2197,dickless,Negative
2198,dicklick,Negative
2199,dicklicker,Negative
2200,dickman,Negative
2201,dickripper,Negative
2202,dicksipper,Negative
2203,dickwad,Negative
2204,dickweed,Negative
2205,dickwhipper,Negative
2206,dickzipper,Negative
2210,diddle,Negative
2212,die,Negative
2224,dik,Negative
2225,dike,Negative
2227,dild0,Negative
2228,dild0s,Negative
2229,dildo,Negative
2231,diligaf,Negative
2235,dilld0,Negative
2236,dilld0s,Negative
2237,dillweed,Negative
2242,dimwit,Negative
2246,dingle,Negative
2247,dingleberries,Negative
2248,dingleberry,Negative
2251,dink,Negative
2255,dip hit,Negative
2258,dipship,Negative
2259,dipshit,Negative
2260,dipstick,Negative
2266,dirsa,Negative
2269,dirty,Negative
2270,dirty pillow,Negative
2271,dirty sanchez,Negative
2359,disease,Negative
2517,disturb,Negative
2525,dive,Negative
2538,dix,Negative
2539,dixiedike,Negative
2540,dixiedyke,Negative
2542,dlck,Negative
2547,dog,Negative
2548,dog | fucker,Negative
2549,dog style,Negative
2552,doggie | style,Negative
2553,doggie style,Negative
2554,doggiestyle,Negative
2555,doggin,Negative
2556,doggy | style,Negative
2557,doggy style,Negative
2558,doggystyle,Negative
2560,dolcett,Negative
2567,domination,Negative
2568,dominatricks,Negative
2569,dominatrics,Negative
2570,dominatrix,Negative
2573,dommes,Negative
2576,dong,Negative
2577,donkey punch,Negative
2578,donkeyribber,Negative
2580,doo,Negative
2581,doodoo,Negative
2582,doofus,Negative
2583,doom,Negative
2588,doosh,Negative
2590,dope,Negative
2591,dopey,Negative
2592,dork,Negative
2599,double dong,Negative
2600,double penetration,Negative
2608,douch3,Negative
2609,douche,Negative
2610,douchebag,Negative
2612,douchey,Negative
2635,dp action,Negative
2643,dragqueen,Negative
2644,dragqween,Negative
2664,drink,Negative
2665,dripdick,Negative
2684,drug,Negative
2687,drunken,Negative
2688,dry hump,Negative
2692,duche,Negative
2702,dumass,Negative
2703,dumb,Negative
2704,dumbass,Negative
2705,dumbbitch,Negative
2709,dumbfuck,Negative
2710,dummy,Negative
2722,dupa,Negative
2732,dvda,Negative
2736,dyefly,Negative
2738,dyke,Negative
2742,dziwka,Negative
2759,easyslut,Negative
2764,eat ass,Negative
2765,eat dick,Negative
2766,eat hair pie,Negative
2767,eat urapan,Negative
2768,eat your mother 's pussy,Negative
2769,eatballs,Negative
2770,eatme,Negative
2771,eatpussy,Negative
2777,ecchi,Negative
2786,ecstacy,Negative
2829,ejackulate,Negative
2830,ejaculate,Negative
2831,ejaculatings,Negative
2832,ejaculation,Negative
2833,ejakulate,Negative
2834,ekrem,Negative
2835,ekto,Negative
2919,enculer,Negative
2935,enema,Negative
2937,enemy,Negative
2964,enlargement,Negative
3044,erect,Negative
3045,erection,Negative
3047,ero,Negative
3053,erotic,Negative
3054,erotism,Negative
3067,escort,Negative
3072,essohbee,Negative
3082,ethical slut,Negative
3083,ethiopian,Negative
3084,ethnic,Negative
3086,eunuch,Negative
3093,european,Negative
3110,evl,Negative
3147,excrement,Negative
3153,execute,Negative
3154,execution,Negative
3155,executioner,Negative
3191,explosion,Negative
3201,extacy,Negative
3202,extasy,Negative
3230,f | u | c | k,Negative
3231,f ck,Negative
3232,f ing,Negative
3233,f u c k,Negative
3234,f u c k e r,Negative
3235,f uck,Negative
3236,f you,Negative
3240,f4nny,Negative
3246,facefucker,Negative
3249,facial,Negative
3253,fack,Negative
3256,faeces,Negative
3257,faen,Negative
3258,fag,Negative
3259,fag1t,Negative
3260,faget,Negative
3261,fagg,Negative
3262,fagg1t,Negative
3263,faggit,Negative
3264,faggitt,Negative
3265,faggot,Negative
3266,faggs,Negative
3267,fagit,Negative
3268,fagot,Negative
3269,fagz,Negative
3270,faig,Negative
3271,faigs,Negative
3272,faigt,Negative
3273,fail,Negative
3278,failure,Negative
3286,fairy,Negative
3287,faith,Negative
3323,fanculo,Negative
3326,fanny,Negative
3327,fannybandit,Negative
3328,fannyflaps,Negative
3329,fannyfucker,Negative
3333,fanyy,Negative
3344,fart,Negative
3345,fartknocker,Negative
3346,farty,Negative
3358,fastfuck,Negative
3365,fat,Negative
3366,fatah,Negative
3371,fatass,Negative
3376,fatfuck,Negative
3377,fatfucker,Negative
3382,fatso,Negative
3399,fck,Negative
3400,fckcum,Negative
3401,fcuk,Negative
3402,fcuker,Negative
3403,fcuking,Negative
3404,fear,Negative
3418,fecal,Negative
3419,feces,Negative
3420,feck,Negative
3421,fecker,Negative
3428,feg,Negative
3431,felatio,Negative
3432,felch,Negative
3433,felcher,Negative
3434,felching,Negative
3439,fellate,Negative
3440,fellatio,Negative
3445,feltch,Negative
3446,feltcher,Negative
3447,feltching,Negative
3448,female squirt,Negative
3449,femdom,Negative
3467,fetish,Negative
3477,ficken,Negative
3490,figging,Negative
3491,fight,Negative
3494,filipina,Negative
3495,filipino,Negative
3505,finger,Negative
3506,fingerbang,Negative
3507,fingerfood,Negative
3508,fingerfuck,Negative
3509,fingerfucked,Negative
3510,fingerfucker,Negative
3511,fingerfuckers,Negative
3512,fingerfucking,Negative
3513,fingerfucks,Negative
3520,fist,Negative
3521,fist fuck,Negative
3522,fister,Negative
3523,fistfuck,Negative
3524,fistfucked,Negative
3525,fistfucker,Negative
3526,fistfuckers,Negative
3527,fistfucking,Negative
3528,fistfuckings,Negative
3529,fistfucks,Negative
3530,fisty,Negative
3532,fitt,Negative
3549,flange,Negative
3553,flasher,Negative
3559,flatulence,Negative
3580,flikker,Negative
3583,flip bird,Negative
3586,flog log,Negative
3587,floo,Negative
3589,floozy,Negative
3602,flydie,Negative
3603,flydye,Negative
3604,foad,Negative
3608,fok,Negative
3610,fondle,Negative
3613,foobar,Negative
3614,fook,Negative
3615,fooker,Negative
3623,foot fetish,Negative
3624,footaction,Negative
3625,footfuck,Negative
3626,footfucker,Negative
3627,footjob,Negative
3628,footlicker,Negative
3630,footstar,Negative
3637,fore,Negative
3644,foreskin,Negative
3659,forni,Negative
3660,fornicate,Negative
3677,fotze,Negative
3681,foursome,Negative
3682,fourtwenty,Negative
3696,fraud,Negative
3702,freakfuck,Negative
3707,freakyfucker,Negative
3712,freefuck,Negative
3714,freex,Negative
3733,frigg,Negative
3734,frigga,Negative
3752,frotting,Negative
3768,fu,Negative
3769,fu ck,Negative
3770,fubar,Negative
3771,fuc,Negative
3772,fucck,Negative
3773,fuck,Negative
3774,fuck | ass,Negative
3775,fuck | bitch,Negative
3776,fuck | fuck you,Negative
3777,fuck | tard,Negative
3778,fuck ass,Negative
3779,fuck button,Negative
3780,fuck hole,Negative
3781,fuck puppet,Negative
3782,fuck trophy,Negative
3783,fuck yo mama,Negative
3784,fuck you,Negative
3785,fuck you ass,Negative
3786,fuck your mom,Negative
3787,fuck your mother,Negative
3788,fucka,Negative
3789,fuckable,Negative
3790,fuckass,Negative
3791,fuckbag,Negative
3792,fuckbuddy,Negative
3793,fuckedup,Negative
3794,fucker,Negative
3795,fuckface,Negative
3796,fuckfest,Negative
3797,fuckfreak,Negative
3798,fuckfriend,Negative
3799,fuckhead,Negative
3800,fuckheads,Negative
3801,fuckher,Negative
3802,fuckin,Negative
3803,fuckina,Negative
3804,fuckingbitch,Negative
3805,fuckings,Negative
3806,fuckingshitmotherfucker,Negative
3807,fuckinnuts,Negative
3808,fuckinright,Negative
3809,fuckit,Negative
3810,fuckknob,Negative
3811,fuckme,Negative
3812,fuckmeat,Negative
3813,fuckmehard,Negative
3814,fuckmonkey,Negative
3815,fucknugget,Negative
3816,fucknut,Negative
3817,fuckoff,Negative
3818,fuckpig,Negative
3819,fucktard,Negative
3820,fucktards,Negative
3821,fucktoy,Negative
3822,fuckup,Negative
3823,fuckwad,Negative
3824,fuckwhit,Negative
3825,fuckwhore,Negative
3826,fuckwit,Negative
3827,fuckyou,Negative
3829,fudge packer,Negative
3830,fudgepacker,Negative
3832,fugly,Negative
3833,fuk,Negative
3834,fukah,Negative
3835,fuken,Negative
3836,fuker,Negative
3837,fukin,Negative
3838,fukk,Negative
3839,fukkah,Negative
3840,fukken,Negative
3841,fukker,Negative
3842,fukkin,Negative
3843,fuks,Negative
3844,fukwhit,Negative
3845,fukwit,Negative
3866,funeral,Negative
3868,funfuck,Negative
3869,fungus,Negative
3881,futanari,Negative
3885,futkretzn,Negative
3887,fuuck,Negative
3888,fux,Negative
3889,fux0r,Negative
3892,fvck,Negative
3893,fxck,Negative
3894,g | spot,Negative
3895,g c,Negative
3896,g spot,Negative
3897,g00k,Negative
3900,gae,Negative
3904,gahapan athey,Negative
3905,gai,Negative
3934,gang | bang,Negative
3935,gang bang,Negative
3936,gangbang,Negative
3937,gangbanger,Negative
3939,gangsta,Negative
3941,ganja,Negative
3950,gassy ass,Negative
3953,gatorbait,Negative
3958,gay,Negative
3959,gay sex,Negative
3960,gayboy,Negative
3961,gaygirl,Negative
3962,gaylord,Negative
3963,gaymuthafuckinwhore,Negative
3964,gaysex,Negative
3965,gayz,Negative
3967,geez,Negative
3968,geezer,Negative
3975,geni,Negative
3977,genital,Negative
3987,german,Negative
3990,getiton,Negative
3994,gey,Negative
3995,gfy,Negative
3997,ghay,Negative
3999,ghey,Negative
4001,giant cock,Negative
4010,gigolo,Negative
4017,gin,Negative
4020,ginzo,Negative
4021,gipp,Negative
4022,girl,Negative
4023,girl cup,Negative
4024,girl wild,Negative
4028,givehead,Negative
4041,glans,Negative
4045,glazeddonut,Negative
4082,goatcx,Negative
4083,goatse,Negative
4084,gob,Negative
4085,god,Negative
4086,god | dam,Negative
4087,god | damn,Negative
4088,god damn,Negative
4091,godammit,Negative
4092,godamn,Negative
4093,godamnit,Negative
4095,goddam,Negative
4096,goddamit,Negative
4097,goddammit,Negative
4098,goddamn,Negative
4099,goddamned,Negative
4100,goddamnes,Negative
4101,goddamnit,Negative
4102,goddamnmuthafucker,Negative
4112,gokkun,Negative
4116,golden shower,Negative
4123,goldenshower,Negative
4126,gonad,Negative
4127,gonorrehea,Negative
4128,gonzagas,Negative
4129,goo girl,Negative
4143,goodpoop,Negative
4150,gook,Negative
4152,goregasm,Negative
4159,gotohell,Negative
4162,goy,Negative
4203,greaseball,Negative
4226,gringo,Negative
4232,groe,Negative
4236,grope,Negative
4237,gross,Negative
4239,grostulation,Negative
4246,group sex,Negative
4265,gspot,Negative
4266,gtfo,Negative
4270,gubba,Negative
4276,guido,Negative
4277,guiena,Negative
4286,gummer,Negative
4289,gun,Negative
4290,guro,Negative
4303,guy jar,Negative
4305,gyp,Negative
4306,gypo,Negative
4307,gypp,Negative
4308,gyppie,Negative
4309,gyppo,Negative
4310,gyppy,Negative
4311,h00r,Negative
4312,h0ar,Negative
4313,h0m0,Negative
4314,h0mo,Negative
4315,h0r,Negative
4316,h0re,Negative
4317,h4x0r,Negative
4341,ham flap,Negative
4342,hamas,Negative
4345,hand job,Negative
4349,handjob,Negative
4365,hapa,Negative
4380,hard,Negative
4381,hard core,Negative
4383,hardcore,Negative
4384,hardcoresex,Negative
4387,harder,Negative
4397,hardon,Negative
4404,harem,Negative
4454,he11,Negative
4459,headfuck,Negative
4460,headlight,Negative
4490,hebe,Negative
4499,heeb,Negative
4508,hell,Negative
4524,helvete,Negative
4526,hemp,Negative
4527,henhouse,Negative
4530,hentai,Negative
4543,heroin,Negative
4547,herp,Negative
4548,herpes,Negative
4549,herpy,Negative
4550,heshe,Negative
4552,heterosexual,Negative
4585,hijack,Negative
4586,hijacker,Negative
4589,hillbilly,Negative
4591,hindoo,Negative
4597,hiscock,Negative
4601,hit,Negative
4604,hitler,Negative
4605,hitlerism,Negative
4606,hitlerist,Negative
4607,hiv,Negative
4608,ho,Negative
4609,hoar,Negative
4611,hoare,Negative
4613,hobag,Negative
4617,hobo,Negative
4618,hodgie,Negative
4619,hoe,Negative
4621,hoer,Negative
4626,hole,Negative
4628,holestuffer,Negative
4632,hom0,Negative
4636,homey,Negative
4637,homicide,Negative
4639,homo,Negative
4640,homobangers,Negative
4641,homoerotic,Negative
4642,homoey,Negative
4643,homosexual,Negative
4654,honger,Negative
4656,honk,Negative
4657,honker,Negative
4658,honkey,Negative
4659,honky,Negative
4672,hooch,Negative
4674,hook,Negative
4675,hookah,Negative
4676,hooker,Negative
4678,hoor,Negative
4680,hoorem whore,Negative
4681,hoorm whore,Negative
4683,hootch,Negative
4685,hooter,Negative
4686,hooththi,Negative
4696,hore,Negative
4697,hork,Negative
4698,horn,Negative
4699,horney,Negative
4700,horny,Negative
4711,horseshit,Negative
4714,hosejob,Negative
4715,hoser,Negative
4719,hostage,Negative
4724,hot carl,Negative
4725,hot chick,Negative
4730,hotdamn,Negative
4735,hotpussy,Negative
4736,hotsex,Negative
4742,hottotrot,Negative
4751,huevon,Negative
4754,huge fat,Negative
4756,hui,Negative
4757,hukahan,Negative
4758,hukahang thoge ammawa,Negative
4759,hukanawa,Negative
4760,hukanne nathuwa palayan,Negative
4761,hukapan,Negative
4762,hukkanna,Negative
4776,hummer,Negative
4781,hump,Negative
4792,husky,Negative
4793,hussy,Negative
4794,hustler,Negative
4795,huththa,Negative
4796,huththige putha,Negative
4797,huti,Negative
4798,hutigay putha,Negative
4799,huttha,Negative
4800,hutthi gay putha,Negative
4806,hymen,Negative
4807,hymie,Negative
4822,iblowu,Negative
4834,idi0t,Negative
4837,idiot,Negative
4856,ikey,Negative
4862,illegal,Negative
5039,inbreed,Negative
5049,incest,Negative
5259,injun,Negative
5288,insest,Negative
5353,intercourse,Negative
5365,interracial,Negative
5369,intheass,Negative
5370,inthebuff,Negative
5484,israel,Negative
5485,israel s,Negative
5486,israel 's,Negative
5487,israeli,Negative
5491,italiano,Negative
5492,itch,Negative
5496,j3rk0ff,Negative
5498,jack,Negative
5499,jack |,Negative
5500,jackass,Negative
5501,jackhole,Negative
5502,jackoff,Negative
5503,jackshit,Negative
5504,jacktheripper,Negative
5505,jade,Negative
5508,jail bait,Negative
5509,jailbait,Negative
5511,jap,Negative
5512,japanese,Negative
5513,japcrap,Negative
5520,jebus,Negative
5525,jeez,Negative
5526,jelly donut,Negative
5529,jerk,Negative
5530,jerk |,Negative
5531,jerk0ff,Negative
5532,jerkoff,Negative
5535,jesus,Negative
